"","GroupID","Golgi_State","IntravasationProb","PER","Average_Speed","Visited_Rzone","Hours_in_Rzone","Metastatic_Celle"
"V168","1","F","0.3597","0.607","21.02","1","16",NA
"V169","1","I","0.01","0.604","25.48","1","64",NA
"V170","1","F","0.2574","0.607","22.12","1","34",NA
"V171","1","F","0.429","0.607","19.75","1","16","1"
"V172","1","I","0.01","0.604","25.5",NA,NA,NA
"V173","2","I","0.01","0.725","25.03",NA,NA,NA
"V174","1","F","0.2706","0.607","20.93","1","60",NA
"V175","4","F","0.4719","0.78","23.85",NA,NA,NA
"V176","1","I","0.01","0.604","25.05",NA,NA,NA
"V177","4","F","0.2442","0.78","24.12",NA,NA,NA
"V178","2","F","0.2376","0.737","23.45",NA,NA,NA
"V179","3","I","0.01","0.601","26.55","1","3",NA
"V180","1","F","0.3663","0.607","22.66","1","12",NA
"V181","4","F","0.1683","0.78","23.49","1","26",NA
"V182","2","F","0.3069","0.737","25.78","1","5",NA
"V183","1","F","0.2079","0.607","22.33","1","56",NA
"V184","4","I","0.01","0.756","24.03","1","4",NA
"V185","1","F","0.3069","0.607","21.63",NA,NA,NA
"V186","2","F","0.4455","0.737","24.76","1","1",NA
"V187","1","F","0.4818","0.607","21.12",NA,NA,NA
"V188","4","F","0.4587","0.78","22.58","1","1",NA
"V189","1","F","0.1683","0.607","22.21","1","25",NA
"V190","1","I","0.01","0.604","21.18",NA,NA,NA
"V191","4","F","0.2871","0.78","24.3","1","8",NA
"V192","1","I","0.01","0.604","26.29",NA,NA,NA
"V193","4","I","0.01","0.756","25.78",NA,NA,NA
"V194","1","F","0.4422","0.607","24.24",NA,NA,NA
"V195","1","F","0.3663","0.607","22.84","1","2",NA
"V196","2","F","0.3531","0.737","22.77","1","30",NA
"V197","2","I","0.01","0.725","26.87","1","47",NA
"V198","1","F","0.1914","0.607","21","1","54",NA
"V199","1","F","0.4092","0.607","22.01","1","61",NA
"V200","2","F","0.3762","0.737","25.69",NA,NA,NA
"V201","2","F","0.3366","0.737","24.03","1","8",NA
"V202","1","I","0.01","0.604","22.44","1","35",NA
"V203","1","I","0.01","0.604","24.8","1","52",NA
"V204","2","F","0.1782","0.737","25.48","1","1",NA
"V205","1","I","0.01","0.604","22.97",NA,NA,NA
"V206","1","F","0.3399","0.607","23.94",NA,NA,NA
"V207","1","I","0.01","0.604","25.42",NA,NA,NA
"V208","4","I","0.01","0.756","25.42","1","11",NA
"V209","2","F","0.1881","0.737","26.31",NA,NA,NA
"V210","2","F","0.2772","0.737","24.66","1","53",NA
"V211","1","F","0.3564","0.607","22.66","1","59",NA
"V212","2","F","0.4422","0.737","23.69",NA,NA,NA
"V213","2","F","0.1881","0.737","23.65",NA,NA,NA
"V214","2","F","0.2277","0.737","23.25","1","55",NA
"V215","4","F","0.3861","0.78","27.77","1","53",NA
"V216","1","F","0.3762","0.607","21.63",NA,NA,NA
"V217","1","I","0.01","0.604","26.52",NA,NA,NA
"V218","1","F","0.2706","0.607","24.1","1","22",NA
"V219","1","F","0.2508","0.607","21.64","1","51",NA
"V220","1","I","0.01","0.604","23.91","1","4",NA
"V221","2","F","0.3729","0.737","26.85","1","34",NA
"V222","2","F","0.3366","0.737","25.14",NA,NA,NA
"V223","1","F","0.2706","0.607","23.1",NA,NA,NA
"V224","2","I","0.01","0.725","26.72",NA,NA,NA
"V225","2","F","0.4719","0.737","24.33",NA,NA,NA
"V226","1","F","0.2673","0.607","20.69","1","13",NA
"V227","1","F","0.3432","0.607","19.03",NA,NA,NA
"V228","1","F","0.4653","0.607","23.97",NA,NA,NA
"V229","4","F","0.4191","0.78","22.12",NA,NA,NA
"V230","1","F","0.4719","0.607","19.96",NA,NA,NA
"V231","2","F","0.3333","0.737","23.27","1","19","1"
"V232","2","F","0.3168","0.737","27.96",NA,NA,NA
"V233","2","F","0.3399","0.737","22.16","1","1",NA
"V234","2","F","0.4026","0.737","24.54",NA,NA,NA
"V235","1","F","0.2673","0.607","18.87",NA,NA,NA
"V236","2","F","0.3762","0.737","23.49",NA,NA,NA
"V237","2","I","0.01","0.725","25.91","1","34",NA
"V238","2","F","0.4026","0.737","24.66",NA,NA,NA
"V239","1","I","0.01","0.604","26.63","1","9",NA
"V240","1","F","0.4785","0.607","21.26","1","1",NA
"V241","2","F","0.1914","0.737","23.18","1","1",NA
"V242","1","F","0.1749","0.607","21.27","1","40",NA
"V243","2","I","0.01","0.725","27.82",NA,NA,NA
"V244","4","I","0.01","0.756","26.54",NA,NA,NA
"V245","1","I","0.01","0.604","27.07","1","1",NA
"V246","4","F","0.2112","0.78","23.71",NA,NA,NA
"V247","1","F","0.4587","0.607","24.08",NA,NA,NA
"V248","1","F","0.3762","0.607","22.48","1","23",NA
"V249","2","F","0.4752","0.737","27.1","1","32",NA
"V250","4","I","0.01","0.756","26.19","1","11",NA
"V251","1","F","0.3597","0.607","24.58","1","9",NA
"V252","4","F","0.3993","0.78","23.23","1","42",NA
"V253","2","F","0.2409","0.737","23.59","1","31",NA
"V254","4","F","0.4818","0.78","21.95","1","15","1"
"V255","4","I","0.01","0.756","24.76","1","36",NA
"V256","4","F","0.2112","0.78","24.91","1","33",NA
"V257","4","F","0.2178","0.78","23.28","1","6",NA
"V258","4","F","0.3531","0.78","25.29","1","24",NA
"V259","2","F","0.1683","0.737","24.36",NA,NA,NA
"V260","1","F","0.3531","0.607","22.68","1","57",NA
"V261","1","I","0.01","0.604","24.81","1","19",NA
