"","GroupID","Golgi_State","IntravasationProb","PER","Average_Speed","Visited_Rzone","Hours_in_Rzone","Metastatic_Celle"
"V2469","4","I","0.01","0.756","24.05","1","1",NA
"V2470","2","F","0.2244","0.737","23.65",NA,NA,NA
"V2471","1","F","0.3333","0.607","22.62","1","1",NA
"V2472","4","I","0.01","0.756","24.16","1","8",NA
"V2473","1","F","0.3927","0.607","22.82",NA,NA,NA
"V2474","2","I","0.01","0.725","26.1",NA,NA,NA
"V2475","4","I","0.01","0.756","24.97","1","11",NA
"V2476","2","I","0.01","0.725","25.03","1","36",NA
"V2477","2","F","0.2277","0.737","26.08","1","1",NA
"V2478","1","F","0.2871","0.607","21.46",NA,NA,NA
"V2479","2","F","0.4587","0.737","21.82",NA,NA,NA
"V2480","1","I","0.01","0.604","24.62","1","18",NA
"V2481","2","F","0.3234","0.737","26.2","1","31",NA
"V2482","1","I","0.01","0.604","25.26","1","7",NA
"V2483","2","F","0.363","0.737","23.17","1","63",NA
"V2484","1","F","0.3498","0.607","23.8","1","1",NA
"V2485","1","I","0.01","0.604","27.35","1","32",NA
"V2486","3","I","0.01","0.601","24.31","1","11",NA
"V2487","3","I","0.01","0.601","24.76","1","28",NA
"V2488","1","F","0.4389","0.607","22.9","1","11",NA
"V2489","2","F","0.4323","0.737","21.18","1","97",NA
"V2490","2","F","0.3333","0.737","21.37","1","20",NA
"V2491","4","I","0.01","0.756","25.15","1","1",NA
"V2492","1","I","0.01","0.604","23.53","1","23",NA
"V2493","1","F","0.2409","0.607","21.07","1","18",NA
"V2494","4","I","0.01","0.756","25.34",NA,NA,NA
"V2495","4","F","0.2376","0.78","21.83",NA,NA,NA
"V2496","2","I","0.01","0.725","25.38","1","23",NA
"V2497","2","I","0.01","0.725","30.15","1","24",NA
"V2498","2","F","0.2706","0.737","26.09","1","33",NA
"V2499","4","F","0.33","0.78","21.77","1","11",NA
"V2500","1","F","0.3465","0.607","24.03",NA,NA,NA
"V2501","1","I","0.01","0.604","25.5",NA,NA,NA
"V2502","1","F","0.3597","0.607","23.25","1","7",NA
"V2503","2","I","0.01","0.725","29.27",NA,NA,NA
"V2504","4","I","0.01","0.756","24.98",NA,NA,NA
"V2505","2","F","0.3729","0.737","27.13","1","34",NA
"V2506","1","I","0.01","0.604","23.79",NA,NA,NA
"V2507","4","I","0.01","0.756","25.12",NA,NA,NA
"V2508","1","I","0.01","0.604","26.79",NA,NA,NA
"V2509","2","F","0.4917","0.737","25.98",NA,NA,NA
"V2510","4","I","0.01","0.756","24.62","1","5",NA
"V2511","2","F","0.4323","0.737","24.41",NA,NA,NA
"V2512","3","I","0.01","0.601","25.84","1","60",NA
"V2513","1","F","0.3828","0.607","23.06","1","14",NA
"V2514","2","F","0.3267","0.737","25.88",NA,NA,NA
"V2515","4","F","0.2772","0.78","22.89",NA,NA,NA
"V2516","2","I","0.01","0.725","24.45",NA,NA,NA
"V2517","1","F","0.1782","0.607","22.64",NA,NA,NA
"V2518","1","F","0.1881","0.607","22.07",NA,NA,NA
"V2519","1","I","0.01","0.604","23.23","1","33",NA
"V2520","2","F","0.4026","0.737","25.17","1","30",NA
"V2521","1","F","0.3696","0.607","20.42","1","43",NA
"V2522","1","F","0.2277","0.607","21.9","1","21",NA
"V2523","1","I","0.01","0.604","20.11","1","40",NA
"V2524","2","F","0.3729","0.737","24.25","1","78",NA
"V2525","1","F","0.2079","0.607","21.54","1","63",NA
"V2526","1","F","0.4587","0.607","20.72","1","13",NA
"V2527","4","F","0.4884","0.78","23.41","1","11",NA
"V2528","1","I","0.01","0.604","27.57","1","10",NA
"V2529","4","I","0.01","0.756","26.91","1","3",NA
"V2530","1","F","0.363","0.607","24.57","1","1",NA
"V2531","2","F","0.3366","0.737","24.6",NA,NA,NA
"V2532","1","I","0.01","0.604","26.68","1","15",NA
"V2533","2","F","0.2442","0.737","25.82","1","14",NA
"V2534","4","F","0.4521","0.78","22.98","1","28",NA
"V2535","2","F","0.4191","0.737","25.68","1","66",NA
"V2536","1","F","0.297","0.607","24.3",NA,NA,NA
"V2537","1","F","0.2871","0.607","22.21",NA,NA,NA
"V2538","1","F","0.2442","0.607","24.4",NA,NA,NA
"V2539","4","I","0.01","0.756","25.07","1","7",NA
"V2540","2","F","0.231","0.737","22.92","1","7",NA
"V2541","4","I","0.01","0.756","24.95","1","29",NA
"V2542","4","F","0.3795","0.78","24.15","1","12",NA
"V2543","2","F","0.4554","0.737","26.13","1","13","1"
"V2544","1","I","0.01","0.604","22.45","1","74",NA
"V2545","3","I","0.01","0.601","26.28","1","54",NA
"V2546","2","F","0.2541","0.737","21.89","1","10","1"
"V2547","1","F","0.1815","0.607","20.09","1","53",NA
"V2548","2","F","0.2343","0.737","25.31","1","46",NA
"V2549","1","F","0.2442","0.607","21.8","1","59",NA
"V2550","4","F","0.2046","0.78","22.76","1","12",NA
"V2551","4","I","0.01","0.756","25.87","1","8",NA
"V2552","3","I","0.01","0.601","24.97","1","19",NA
"V2553","1","F","0.4257","0.607","21.92","1","2",NA
"V2554","1","I","0.01","0.604","23.88",NA,NA,NA
"V2555","3","F","0.4026","0.63","26.66","1","1",NA
"V2556","3","I","0.01","0.601","26.75",NA,NA,NA
"V2557","3","F","0.3432","0.63","23.72",NA,NA,NA
"V2558","2","F","0.2871","0.737","26.98","1","18",NA
"V2559","2","F","0.4257","0.737","18.83","1","27",NA
"V2560","1","F","0.3729","0.607","20.29",NA,NA,NA
"V2561","2","F","0.1914","0.737","26.24",NA,NA,NA
"V2562","4","F","0.4092","0.78","24.25","1","8",NA
"V2563","2","F","0.4488","0.737","25.62",NA,NA,NA
"V2564","1","F","0.4653","0.607","21.77","1","14",NA
"V2565","1","F","0.4422","0.607","21.53","1","27",NA
"V2566","2","F","0.4653","0.737","22.95","1","14",NA
"V2567","1","I","0.01","0.604","18.94","1","94",NA
"V2568","4","I","0.01","0.756","26.46","1","1",NA
"V2569","2","F","0.3795","0.737","25.56",NA,NA,NA
"V2570","2","F","0.33","0.737","24.5","1","35",NA
"V2571","3","I","0.01","0.601","26.36",NA,NA,NA
"V2572","1","F","0.2079","0.607","20.28","1","1",NA
"V2573","2","F","0.363","0.737","21.45",NA,NA,NA
"V2574","1","F","0.1947","0.607","21.5","1","64",NA
"V2575","4","F","0.4323","0.78","25.43",NA,NA,NA
"V2576","4","F","0.3531","0.78","25.19","1","26",NA
"V2577","4","F","0.2178","0.78","23.64","1","18",NA
"V2578","2","F","0.3036","0.737","25.64","1","31",NA
"V2579","2","F","0.2904","0.737","19.99","1","39","1"
"V2580","3","I","0.01","0.601","23.53","1","60",NA
"V2581","1","F","0.3927","0.607","22.32","1","40",NA
"V2582","4","I","0.01","0.756","22.8","1","12","1"
"V2583","4","F","0.1881","0.78","23.87","1","54",NA
"V2584","1","F","0.2343","0.607","19.81","1","23","1"
"V2585","4","I","0.01","0.756","25.98","1","9",NA
"V2586","1","F","0.264","0.607","25.25",NA,NA,NA
"V2587","2","F","0.3762","0.737","23.04",NA,NA,NA
"V2588","2","F","0.2838","0.737","25.1","1","27",NA
"V2589","1","F","0.3762","0.607","22.66","1","22","1"
"V2590","2","F","0.2211","0.737","26.34","1","23",NA
"V2591","4","I","0.01","0.756","23.83","1","28",NA
"V2592","4","I","0.01","0.756","24.32","1","14",NA
"V2593","1","I","0.01","0.604","23.63","1","2",NA
"V2594","3","F","0.3069","0.63","24.45",NA,NA,NA
"V2595","3","I","0.01","0.601","29.11","1","16",NA
"V2596","3","I","0.01","0.601","24.7","1","25",NA
"V2597","3","I","0.01","0.601","25.45",NA,NA,NA
"V2598","2","F","0.363","0.737","23.73",NA,NA,NA
"V2599","4","I","0.01","0.756","21.9","1","29",NA
"V2600","1","F","0.3135","0.607","20.56","1","44",NA
"V2601","3","I","0.01","0.601","29.96","1","2",NA
"V2602","2","F","0.4092","0.737","25.22",NA,NA,NA
"V2603","1","F","0.2673","0.607","22.2","1","2",NA
"V2604","4","I","0.01","0.756","25.34",NA,NA,NA
"V2605","1","F","0.3993","0.607","22.67","1","2",NA
"V2606","2","I","0.01","0.725","26.51",NA,NA,NA
"V2607","4","F","0.3168","0.78","22.35","1","33",NA
"V2608","2","F","0.4785","0.737","25.96",NA,NA,NA
"V2609","4","F","0.264","0.78","28.8","1","11",NA
"V2610","1","F","0.3663","0.607","21.59",NA,NA,NA
"V2611","1","I","0.01","0.604","21.57",NA,NA,NA
"V2612","4","F","0.3729","0.78","26.09",NA,NA,NA
"V2613","1","F","0.3201","0.607","20.92",NA,NA,NA
"V2614","2","F","0.1914","0.737","25.36",NA,NA,NA
"V2615","1","F","0.3993","0.607","22.96","1","4",NA
"V2616","3","F","0.4752","0.63","24.58",NA,NA,NA
"V2617","4","I","0.01","0.756","25.42","1","39",NA
"V2618","4","F","0.4521","0.78","27.77",NA,NA,NA
"V2619","1","F","0.2904","0.607","23.08",NA,NA,NA
"V2620","1","F","0.4554","0.607","21.67",NA,NA,NA
"V2621","2","I","0.01","0.725","29.03",NA,NA,NA
"V2622","2","F","0.4752","0.737","25.27","1","37",NA
"V2623","1","F","0.3168","0.607","27.64",NA,NA,NA
"V2624","1","F","0.4257","0.607","22.79","1","34",NA
"V2625","3","F","0.2805","0.63","23.42",NA,NA,NA
"V2626","2","F","0.2937","0.737","25.79",NA,NA,NA
"V2627","4","I","0.01","0.756","28.23",NA,NA,NA
"V2628","2","F","0.3927","0.737","26.05",NA,NA,NA
"V2629","4","F","0.4125","0.78","24.73",NA,NA,NA
"V2630","4","F","0.4554","0.78","28.62",NA,NA,NA
"V2631","2","F","0.1947","0.737","25.44",NA,NA,NA
"V2632","4","I","0.01","0.756","24.2","1","1",NA
"V2633","4","I","0.01","0.756","28.1",NA,NA,NA
"V2634","1","I","0.01","0.604","28.15",NA,NA,NA
"V2635","1","F","0.4092","0.607","21.68",NA,NA,NA
"V2636","1","I","0.01","0.604","28.14",NA,NA,NA
"V2637","2","F","0.3267","0.737","22.65",NA,NA,NA
"V2638","3","I","0.01","0.601","25.86","1","23",NA
"V2639","2","F","0.2739","0.737","22.64","1","46",NA
"V2640","1","F","0.3267","0.607","22.97","1","40",NA
"V2641","2","I","0.01","0.725","23.82","1","22",NA
"V2642","1","F","0.495","0.607","26.31","1","40","1"
"V2643","3","I","0.01","0.601","31.07","1","6",NA
"V2644","1","F","0.2805","0.607","16.25","1","51",NA
"V2645","4","I","0.01","0.756","25.04","1","9",NA
"V2646","4","F","0.2541","0.78","21.1","1","7",NA
"V2647","1","F","0.2541","0.607","22.27","1","4",NA
"V2648","4","I","0.01","0.756","24.12","1","36",NA
"V2649","2","F","0.4488","0.737","25.68","1","16",NA
"V2650","4","I","0.01","0.756","20.61","1","27",NA
"V2651","1","F","0.2145","0.607","22.47","1","43",NA
"V2652","2","F","0.2376","0.737","20.25","1","54",NA
"V2653","1","F","0.2013","0.607","18.2","1","21",NA
"V2654","1","F","0.4554","0.607","21.6","1","57",NA
"V2655","1","F","0.2112","0.607","20.49","1","57",NA
"V2656","2","I","0.01","0.725","25.87","1","2",NA
"V2657","2","F","0.264","0.737","26.02",NA,NA,NA
"V2658","4","I","0.01","0.756","26.88","1","15",NA
"V2659","1","F","0.3729","0.607","22.59",NA,NA,NA
"V2660","1","I","0.01","0.604","22.86",NA,NA,NA
"V2661","4","F","0.3564","0.78","24.59","1","1",NA
"V2662","3","I","0.01","0.601","24.62","1","53",NA
"V2663","1","F","0.3663","0.607","25.44","1","3",NA
"V2664","1","F","0.4818","0.607","17.72","1","10","1"
"V2665","4","F","0.3333","0.78","21.38","1","36",NA
"V2666","4","I","0.01","0.756","25.62","1","18",NA
"V2667","4","I","0.01","0.756","24.43",NA,NA,NA
"V2668","4","F","0.4752","0.78","22.96","1","9",NA
"V2669","2","F","0.4752","0.737","23.56","1","26",NA
"V2670","1","I","0.01","0.604","23.5","1","5",NA
"V2671","3","I","0.01","0.601","25.48","1","63",NA
"V2672","2","F","0.3564","0.737","25.74","1","17",NA
"V2673","1","F","0.3135","0.607","19.57","1","62",NA
"V2674","4","I","0.01","0.756","21.75","1","19",NA
"V2675","1","F","0.3729","0.607","21.76","1","34",NA
"V2676","4","F","0.2937","0.78","20.3","1","8","1"
"V2677","1","F","0.3399","0.607","23.75","1","19",NA
"V2678","2","F","0.2739","0.737","27.01","1","1",NA
"V2679","4","F","0.2079","0.78","22.59",NA,NA,NA
"V2680","2","F","0.3861","0.737","25.19","1","28",NA
"V2681","2","F","0.2442","0.737","25.74","1","33",NA
"V2682","1","I","0.01","0.604","25.38",NA,NA,NA
"V2683","1","F","0.4092","0.607","22.74",NA,NA,NA
"V2684","2","I","0.01","0.725","24.07",NA,NA,NA
"V2685","4","I","0.01","0.756","25.41",NA,NA,NA
"V2686","4","I","0.01","0.756","25.77",NA,NA,NA
"V2687","2","F","0.4257","0.737","23.33",NA,NA,NA
"V2688","2","F","0.3564","0.737","25.66","1","1",NA
"V2689","4","F","0.2904","0.78","25.56","1","1",NA
"V2690","2","I","0.01","0.725","24.11","1","1",NA
"V2691","3","I","0.01","0.601","27.6",NA,NA,NA
"V2692","2","F","0.4191","0.737","24.82","1","1",NA
"V2693","4","I","0.01","0.756","26.51","1","1",NA
"V2694","1","F","0.4719","0.607","23.32",NA,NA,NA
"V2695","1","F","0.3795","0.607","20.77",NA,NA,NA
"V2696","4","F","0.2508","0.78","24.98",NA,NA,NA
"V2697","2","F","0.2574","0.737","20.7",NA,NA,NA
"V2698","2","F","0.1881","0.737","23.85","1","32",NA
"V2699","2","F","0.3432","0.737","22.57","1","29",NA
"V2700","4","I","0.01","0.756","25.36","1","32",NA
"V2701","1","F","0.2508","0.607","22.71","1","1",NA
"V2702","1","F","0.3894","0.607","23.46",NA,NA,NA
"V2703","2","F","0.3465","0.737","24.86","1","1",NA
"V2704","2","F","0.4059","0.737","25.11",NA,NA,NA
"V2705","4","F","0.4422","0.78","28.41",NA,NA,NA
"V2706","4","I","0.01","0.756","24.7","1","46",NA
"V2707","2","F","0.2475","0.737","23.57","1","18",NA
"V2708","2","F","0.2376","0.737","26.37",NA,NA,NA
"V2709","2","F","0.2112","0.737","24.58",NA,NA,NA
"V2710","2","F","0.2211","0.737","23.64","1","25",NA
"V2711","2","F","0.1749","0.737","23.01",NA,NA,NA
"V2712","4","I","0.01","0.756","23.11","1","51",NA
"V2713","2","I","0.01","0.725","23.45","1","43",NA
"V2714","4","F","0.4026","0.78","22.44","1","35",NA
"V2715","1","I","0.01","0.604","21.52","1","33",NA
"V2716","2","F","0.4719","0.737","25.76","1","10",NA
"V2717","2","I","0.01","0.725","27.77",NA,NA,NA
"V2718","1","F","0.4884","0.607","18.87","1","2",NA
"V2719","4","I","0.01","0.756","25.79","1","18",NA
"V2720","1","F","0.1782","0.607","23.29","1","39",NA
"V2721","2","F","0.4323","0.737","25.99","1","5",NA
"V2722","2","F","0.3993","0.737","26.17","1","11",NA
"V2723","1","F","0.3135","0.607","23.18",NA,NA,NA
"V2724","1","I","0.01","0.604","23.73",NA,NA,NA
"V2725","2","F","0.3894","0.737","23.28","1","42",NA
"V2726","2","I","0.01","0.725","26.76","1","33",NA
"V2727","4","F","0.462","0.78","21.73","1","12",NA
"V2728","2","F","0.1683","0.737","23.68","1","4",NA
"V2729","2","F","0.2904","0.737","23.87","1","9",NA
"V2730","4","I","0.01","0.756","24.04",NA,NA,NA
"V2731","2","F","0.495","0.737","23.57","1","5",NA
"V2732","3","I","0.01","0.601","27.54","1","4",NA
"V2733","2","I","0.01","0.725","26.85","1","9",NA
"V2734","2","F","0.1749","0.737","22.76","1","25",NA
"V2735","1","F","0.4554","0.607","21.62","1","51",NA
"V2736","1","F","0.3729","0.607","19.9","1","68",NA
"V2737","1","F","0.4521","0.607","19.42","1","50","1"
"V2738","1","I","0.01","0.604","28.98","1","38",NA
"V2739","2","I","0.01","0.725","28.6","1","6",NA
"V2740","2","F","0.396","0.737","23.24","1","27",NA
"V2741","4","F","0.2046","0.78","24.48","1","22",NA
"V2742","1","F","0.2112","0.607","24.34","1","8","1"
"V2743","1","F","0.4224","0.607","21.73","1","11",NA
"V2744","1","I","0.01","0.604","25.39",NA,NA,NA
"V2745","2","F","0.2673","0.737","26.76",NA,NA,NA
"V2746","1","F","0.1848","0.607","21.98","1","30",NA
"V2747","1","F","0.3168","0.607","21.74","1","23",NA
"V2748","1","I","0.01","0.604","23.57","1","27",NA
"V2749","1","F","0.4752","0.607","23.25","1","3",NA
"V2750","3","I","0.01","0.601","23.15","1","58",NA
"V2751","4","I","0.01","0.756","24.25","1","47",NA
"V2752","2","F","0.198","0.737","24.93","1","20",NA
"V2753","1","F","0.4818","0.607","24.09","1","21",NA
"V2754","3","F","0.1848","0.63","22.34","1","29",NA
"V2755","1","F","0.3531","0.607","22.52","1","44",NA
"V2756","2","F","0.4818","0.737","25.2","1","40",NA
"V2757","1","F","0.396","0.607","23.15","1","35",NA
"V2758","1","F","0.3762","0.607","24.27","1","4",NA
"V2759","2","F","0.264","0.737","23.76",NA,NA,NA
"V2760","2","F","0.4422","0.737","26.74","1","18",NA
"V2761","2","F","0.4026","0.737","25.58","1","23",NA
"V2762","2","F","0.2772","0.737","25.11","1","31",NA
"V2763","2","I","0.01","0.725","28.66","1","27",NA
"V2764","1","I","0.01","0.604","26.33","1","25",NA
"V2765","2","I","0.01","0.725","25.06","1","15",NA
"V2766","1","I","0.01","0.604","22.81","1","3",NA
"V2767","3","I","0.01","0.601","26.6",NA,NA,NA
"V2768","1","F","0.4455","0.607","22.86","1","39",NA
"V2769","1","F","0.4686","0.607","21.49","1","61",NA
"V2770","4","I","0.01","0.756","24.89","1","1",NA
"V2771","2","F","0.4125","0.737","26.46","1","18",NA
"V2772","1","I","0.01","0.604","26.67",NA,NA,NA
"V2773","1","I","0.01","0.604","24.25",NA,NA,NA
"V2774","4","F","0.3102","0.78","23.79",NA,NA,NA
"V2775","2","I","0.01","0.725","26.2","1","2",NA
"V2776","1","F","0.3531","0.607","22.79",NA,NA,NA
"V2777","2","F","0.2475","0.737","22.35","1","1",NA
"V2778","1","I","0.01","0.604","23.51","1","1",NA
"V2779","3","I","0.01","0.601","26.99","1","1",NA
"V2780","1","I","0.01","0.604","21.7","1","47",NA
"V2781","4","I","0.01","0.756","26.7",NA,NA,NA
"V2782","1","F","0.4785","0.607","25.56",NA,NA,NA
"V2783","2","F","0.3531","0.737","23.81",NA,NA,NA
"V2784","1","F","0.3894","0.607","23.1","1","15",NA
"V2785","2","F","0.4455","0.737","22.83","1","5",NA
"V2786","1","F","0.4752","0.607","23.81","1","10",NA
"V2787","1","F","0.1683","0.607","20.77","1","92",NA
"V2788","2","F","0.1914","0.737","25.2","1","63",NA
"V2789","2","F","0.3366","0.737","20.88","1","28","1"
"V2790","1","I","0.01","0.604","25.17","1","1",NA
"V2791","2","F","0.3366","0.737","25.33",NA,NA,NA
"V2792","2","F","0.429","0.737","24.49","1","31",NA
"V2793","1","F","0.4026","0.607","19.9","1","66",NA
"V2794","2","F","0.462","0.737","25.67",NA,NA,NA
"V2795","2","F","0.495","0.737","26.25",NA,NA,NA
"V2796","2","F","0.3993","0.737","26.14",NA,NA,NA
"V2797","2","F","0.2838","0.737","25.89",NA,NA,NA
"V2798","1","F","0.2112","0.607","21.3",NA,NA,NA
"V2799","1","F","0.2706","0.607","22.94","1","22",NA
"V2800","2","F","0.2046","0.737","24.21","1","3",NA
"V2801","4","I","0.01","0.756","26.93","1","37",NA
"V2802","1","F","0.3498","0.607","24.47","1","15",NA
"V2803","1","I","0.01","0.604","24.92","1","53",NA
"V2804","4","I","0.01","0.756","26.35","1","1",NA
"V2805","4","F","0.2046","0.78","23.39","1","7",NA
"V2806","2","F","0.2244","0.737","21.26","1","27",NA
"V2807","4","F","0.2508","0.78","24.66","1","1",NA
"V2808","1","I","0.01","0.604","26.79","1","3",NA
"V2809","1","I","0.01","0.604","24.65","1","46",NA
"V2810","2","F","0.2046","0.737","25.46","1","3",NA
"V2811","2","F","0.495","0.737","25.56","1","28",NA
"V2812","1","F","0.4752","0.607","22.55","1","34",NA
"V2813","1","F","0.4818","0.607","25.01","1","49",NA
"V2814","1","F","0.4158","0.607","21.43","1","74",NA
"V2815","2","F","0.4059","0.737","24.59","1","59",NA
"V2816","1","I","0.01","0.604","29.86",NA,NA,NA
"V2817","2","F","0.4752","0.737","28.01",NA,NA,NA
"V2818","4","F","0.3234","0.78","25.26",NA,NA,NA
"V2819","2","F","0.3828","0.737","26.08","1","6",NA
"V2820","2","F","0.2673","0.737","25.51",NA,NA,NA
"V2821","2","F","0.3498","0.737","23.41","1","17",NA
"V2822","1","F","0.4587","0.607","22.63",NA,NA,NA
"V2823","2","F","0.3399","0.737","25.18",NA,NA,NA
"V2824","4","I","0.01","0.756","25.06",NA,NA,NA
"V2825","1","I","0.01","0.604","25.63",NA,NA,NA
"V2826","1","I","0.01","0.604","24.01",NA,NA,NA
"V2827","2","F","0.231","0.737","25.64",NA,NA,NA
"V2828","1","I","0.01","0.604","27.04","1","13",NA
"V2829","1","I","0.01","0.604","22.32","1","103",NA
"V2830","1","I","0.01","0.604","21.03","1","30",NA
"V2831","4","F","0.3531","0.78","25.17","1","7",NA
"V2832","4","F","0.4422","0.78","27.9",NA,NA,NA
"V2833","2","F","0.2871","0.737","28.09",NA,NA,NA
"V2834","1","I","0.01","0.604","27.59",NA,NA,NA
"V2835","1","I","0.01","0.604","28.2",NA,NA,NA
"V2836","1","I","0.01","0.604","21.4",NA,NA,NA
"V2837","1","I","0.01","0.604","27.84","1","22",NA
"V2838","1","F","0.3531","0.607","16.59","1","10","1"
"V2839","4","I","0.01","0.756","27.7","1","8",NA
"V2840","4","F","0.3102","0.78","27.98","1","4",NA
"V2841","4","F","0.3564","0.78","23.9","1","30",NA
"V2842","3","F","0.3234","0.63","26.47",NA,NA,NA
"V2843","1","F","0.2541","0.607","23.54",NA,NA,NA
"V2844","2","F","0.3729","0.737","26.25",NA,NA,NA
"V2845","1","F","0.3861","0.607","22.14",NA,NA,NA
"V2846","1","F","0.2673","0.607","20.3",NA,NA,NA
"V2847","2","I","0.01","0.725","32.66",NA,NA,NA
"V2848","1","F","0.231","0.607","23.35","1","1",NA
"V2849","2","F","0.3663","0.737","25.85","1","15",NA
"V2850","1","F","0.4488","0.607","27.39","1","31",NA
"V2851","2","F","0.2079","0.737","25.38","1","25",NA
"V2852","2","I","0.01","0.725","27.74","1","32",NA
"V2853","1","F","0.4323","0.607","19.41","1","13","1"
"V2854","1","F","0.2739","0.607","23.12",NA,NA,NA
"V2855","4","I","0.01","0.756","30.56",NA,NA,NA
"V2856","2","F","0.2376","0.737","27.76",NA,NA,NA
"V2857","4","F","0.3564","0.78","24.6","1","29",NA
"V2858","2","I","0.01","0.725","25.47","1","1",NA
"V2859","2","F","0.2838","0.737","14.19",NA,NA,NA
"V2860","1","I","0.01","0.604","26.07","1","64",NA
"V2861","4","F","0.3927","0.78","23.31","1","12",NA
"V2862","4","F","0.2871","0.78","23.1","1","12",NA
"V2863","1","I","0.01","0.604","23.03","1","50",NA
"V2864","2","F","0.2277","0.737","25.75","1","14",NA
"V2865","1","F","0.264","0.607","18.07","1","45",NA
"V2866","2","F","0.3267","0.737","22.66","1","50",NA
"V2867","1","F","0.264","0.607","24.86","1","16",NA
"V2868","2","F","0.3498","0.737","0.82","1","1","1"
"V2869","4","F","0.2376","0.78","26.23","1","14",NA
"V2870","1","F","0.4653","0.607","23.11","1","14","1"
"V2871","1","F","0.2079","0.607","21.87","1","3",NA
"V2872","2","F","0.2046","0.737","20.37","1","42",NA
"V2873","4","F","0.4587","0.78","24.57","1","21","1"
"V2874","2","I","0.01","0.725","24.98","1","4",NA
"V2875","4","I","0.01","0.756","27.91",NA,NA,NA
"V2876","4","I","0.01","0.756","27.79","1","19",NA
"V2877","2","I","0.01","0.725","26.61",NA,NA,NA
"V2878","1","I","0.01","0.604","25.08","1","10",NA
"V2879","1","F","0.2244","0.607","23.58",NA,NA,NA
"V2880","4","F","0.1683","0.78","23.35","1","1",NA
"V2881","1","F","0.1947","0.607","22.43","1","37",NA
"V2882","4","I","0.01","0.756","25.43","1","49",NA
"V2883","4","I","0.01","0.756","26.79","1","22",NA
"V2884","2","F","0.2244","0.737","24.21","1","3",NA
"V2885","1","F","0.231","0.607","24.03","1","25",NA
"V2886","1","F","0.2838","0.607","23.47",NA,NA,NA
"V2887","1","I","0.01","0.604","24.25",NA,NA,NA
"V2888","4","I","0.01","0.756","22.4",NA,NA,NA
"V2889","2","F","0.2178","0.737","25.65","1","32",NA
"V2890","2","F","0.3597","0.737","23.45",NA,NA,NA
"V2891","1","F","0.396","0.607","21.41","1","1",NA
"V2892","3","I","0.01","0.601","22.37","1","86",NA
"V2893","2","F","0.2871","0.737","24.92",NA,NA,NA
"V2894","4","F","0.3696","0.78","25.32",NA,NA,NA
"V2895","1","I","0.01","0.604","19.79","1","69",NA
"V2896","2","F","0.2046","0.737","25.86","1","22",NA
"V2897","2","I","0.01","0.725","26.86","1","36",NA
"V2898","1","I","0.01","0.604","25.44",NA,NA,NA
"V2899","4","I","0.01","0.756","27.09","1","50",NA
"V2900","1","I","0.01","0.604","26.02",NA,NA,NA
"V2901","2","F","0.4224","0.737","25.27",NA,NA,NA
"V2902","3","I","0.01","0.601","25.56",NA,NA,NA
"V2903","4","F","0.2673","0.78","24.05","1","29",NA
"V2904","2","F","0.2838","0.737","25.26","1","2",NA
"V2905","4","I","0.01","0.756","28.16",NA,NA,NA
"V2906","4","I","0.01","0.756","22.27","1","11",NA
"V2907","2","F","0.3135","0.737","24.44",NA,NA,NA
"V2908","1","I","0.01","0.604","25.11","1","34",NA
"V2909","2","I","0.01","0.725","25.37",NA,NA,NA
"V2910","4","I","0.01","0.756","25.35","1","9",NA
"V2911","1","I","0.01","0.604","25.49",NA,NA,NA
"V2912","2","F","0.2508","0.737","25.53","1","43",NA
"V2913","4","F","0.3333","0.78","22.83","1","76",NA
"V2914","2","F","0.2013","0.737","22.32","1","31",NA
"V2915","4","F","0.165","0.78","24.69","1","26",NA
"V2916","2","F","0.2244","0.737","25.56","1","33",NA
"V2917","1","F","0.4026","0.607","21.58",NA,NA,NA
"V2918","4","F","0.198","0.78","24.35","1","1",NA
"V2919","1","I","0.01","0.604","25.97","1","13",NA
"V2920","4","F","0.1815","0.78","25.58",NA,NA,NA
"V2921","1","F","0.4686","0.607","23.85",NA,NA,NA
"V2922","1","F","0.4488","0.607","24.25",NA,NA,NA
"V2923","1","F","0.2145","0.607","23.18","1","6","1"
"V2924","4","F","0.4125","0.78","28",NA,NA,NA
"V2925","1","F","0.2739","0.607","20.94","1","1",NA
"V2926","1","I","0.01","0.604","25.28","1","9",NA
"V2927","1","F","0.2772","0.607","18.69","1","15",NA
"V2928","4","I","0.01","0.756","23.05","1","9",NA
"V2929","1","F","0.4719","0.607","23.74","1","2",NA
"V2930","4","I","0.01","0.756","27.26","1","36",NA
"V2931","3","F","0.3432","0.63","21.99","1","40",NA
"V2932","4","I","0.01","0.756","21.23",NA,NA,NA
"V2933","1","F","0.495","0.607","23.27","1","14",NA
"V2934","4","I","0.01","0.756","27.61","1","3",NA
"V2935","2","I","0.01","0.725","26.41",NA,NA,NA
"V2936","4","F","0.3333","0.78","22.9","1","10",NA
"V2937","4","F","0.2079","0.78","23.93",NA,NA,NA
"V2938","4","F","0.4851","0.78","21.66","1","41","1"
"V2939","4","I","0.01","0.756","24.97","1","64",NA
"V2940","1","F","0.1716","0.607","20.65","1","11","1"
"V2941","1","I","0.01","0.604","24.04","1","4",NA
"V2942","4","F","0.396","0.78","27.99","1","5",NA
"V2943","2","I","0.01","0.725","23.83","1","47",NA
"V2944","2","F","0.4092","0.737","27.73","1","22",NA
