"","x"
"1",1
"2",2
"3",4
"4",8
"5",14
"6",28
"7",54
"8",106
"9",208
"10",394
"11",762
"12",1472
"13",2862
"14",5556
"15",10850
"16",13810
"17",5534
"18",1000
"19",98
"20",4
