Steps,Number of cells,Number of cells in RedZone,RedZone cells ratio,MaxCellID,Cumulative Dead Cells,Cumulative Senescent cells,Cumulative time in RedZone,Uniformity Index,Total Number of RedZone Visitors,Cumulative Metastatic cells ,Average speed of all cells,Cumulative G1B cells,L5S Immotile Cells,L5S Dividing Cells,Fragmentation %,Intravassation Rate
2160,31450,2101,0.07,63799,0,0,622623,80,30777,450,24.232,225,7665,1781,65,0.4
2160,37990,2244,0.06,77147,0,584,856774,93,34448,584,18.777,2757,26358,621,65,0.4
2160,26203,1842,0.07,53167,0,0,521653,69,26152,381,24.819,129,3927,1688,65,0.4
2160,32494,2140,0.07,65953,0,0,665503,81,32001,483,23.87,363,10356,1562,65,0.4
2160,29726,2010,0.07,60387,0,0,622827,72,29980,468,23.749,453,7996,1630,65,0.4
2160,30555,2040,0.07,62037,0,0,602583,80,30249,464,25.061,131,4955,1938,65,0.4
2160,33110,2117,0.06,67261,0,0,686839,83,32549,521,23.291,588,11595,1473,65,0.4
2160,29153,1997,0.07,59115,0,0,572549,75,28087,405,24.677,195,4870,1354,65,0.4
2160,31099,2092,0.07,63141,0,0,629857,83,31152,472,25.042,142,4521,1638,65,0.4
2160,25559,1869,0.07,51881,0,0,517256,69,25743,382,24.968,123,3366,1655,65,0.4
2160,32009,2113,0.07,64961,0,0,627345,82,30846,472,24.44,202,7583,1661,65,0.4
2160,29466,1982,0.07,59865,0,0,590272,73,28794,467,23.441,238,8191,1678,65,0.4
2160,29403,2027,0.07,59725,0,0,598907,73,29222,460,23.678,281,8103,1446,65,0.4
2160,25144,1835,0.07,51031,0,0,503893,72,25443,372,25.738,84,970,1952,65,0.4
2160,37472,2254,0.06,76041,0,88,802385,92,34399,549,19.82,1768,26720,778,65,0.4
2160,36334,2238,0.06,73761,0,21,774385,88,33516,547,20.808,2152,19683,1053,65,0.4
2160,33790,2124,0.06,68595,0,1,704822,81,32128,508,21.866,1506,14900,1352,65,0.4
2160,33941,2169,0.06,68821,0,0,678559,83,31728,470,22.459,968,14219,1268,65,0.4
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
