"","TP","Per","Mean of cells","Standard deviation of cells","Mean of Intravasating cells","Standard deviation of  Intravasating cells","Speed"
"142",1,0.75,4350,1119,15,5,30
"143",2,0.75,14767,3672,56,20,30
"144",3,0.75,38649,1181,294,73,30
"145",1,0.8,4412,1179,13,5,30
"146",2,0.8,14979,3823,53,23,30
"147",3,0.8,38403,2274,289,85,30
"148",1,0.85,4884,772,14,4,30
"149",2,0.85,16623,2539,61,16,30
"150",3,0.85,39473,403,342,60,30
"151",1,0.25,4649,1140,20,7,35
"152",2,0.25,15390,3673,77,23,35
"153",3,0.25,37383,3086,347,95,35
"154",1,0.35,4862,1057,21,6,35
"155",2,0.35,16137,3337,76,19,35
"156",3,0.35,38540,2012,370,89,35
"157",1,0.45,4438,855,18,5,35
"158",2,0.45,14945,2772,66,14,35
"159",3,0.45,38422,1519,337,72,35
"160",1,0.55,4629,927,16,5,35
"161",2,0.55,15631,3013,67,24,35
"162",3,0.55,39174,521,358,88,35
"163",1,0.6,4537,588,19,6,35
"164",2,0.6,15386,1912,65,15,35
"165",3,0.6,39375,361,349,53,35
"166",1,0.65,4699,1138,13,4,35
"167",2,0.65,15961,3695,61,16,35
"168",3,0.65,39225,552,356,86,35
"169",1,0.7,4705,869,16,4,35
"170",2,0.7,16066,2836,61,18,35
"171",3,0.7,39290,782,356,73,35
"172",1,0.75,4913,628,15,4,35
"173",2,0.75,16795,2033,64,13,35
"174",3,0.75,39543,46,376,58,35
"175",1,0.8,4767,901,14,5,35
"176",2,0.8,16248,2943,66,18,35
"177",3,0.8,39315,607,362,82,35
"178",1,0.85,4852,940,14,4,35
"179",2,0.85,16645,3134,62,15,35
"180",3,0.85,39284,578,367,87,35
"181",1,0.25,4040,837,16,4,40
"182",2,0.25,13546,2703,61,18,40
"183",3,0.25,37091,2213,306,87,40
"184",1,0.35,4958,1441,20,9,40
"185",2,0.35,16610,4585,81,35,40
"186",3,0.35,38592,1922,401,117,40
"187",1,0.45,5189,1241,19,6,40
"188",2,0.45,17429,3982,80,25,40
"189",3,0.45,39041,919,433,117,40
"190",1,0.55,4452,784,16,5,40
"191",2,0.55,15161,2545,64,14,40
"192",3,0.55,38942,963,363,81,40
"193",1,0.6,4533,863,17,6,40
"194",2,0.6,15456,2828,63,18,40
"195",3,0.6,39047,1043,368,89,40
"196",1,0.65,5199,1015,19,6,40
"197",2,0.65,17723,3353,78,19,40
"198",3,0.65,39402,341,424,97,40
"199",1,0.7,4994,714,19,5,40
"200",2,0.7,17101,2336,69,14,40
"201",3,0.7,39453,193,416,73,40
"202",1,0.75,5216,1191,17,6,40
"203",2,0.75,17918,3929,70,19,40
"204",3,0.75,39411,358,415,93,40
"205",1,0.8,6066,1227,18,6,40
"206",2,0.8,20735,4023,81,25,40
"207",3,0.8,39477,78,480,93,40
"208",1,0.85,5370,877,16,5,40
"209",2,0.85,18487,2908,68,15,40
"210",3,0.85,39508,51,426,70,40
"211",1,0.25,4819,861,20,6,45
"212",2,0.25,16262,2773,77,23,45
"213",3,0.25,39279,383,415,91,45
"214",1,0.35,4373,967,18,5,45
"215",2,0.35,14873,3147,66,17,45
"216",3,0.35,38509,1981,368,105,45
"217",1,0.45,4736,707,19,5,45
"218",2,0.45,16140,2334,72,13,45
"219",3,0.45,39361,314,427,81,45
"220",1,0.55,5638,1535,21,7,45
"221",2,0.55,19176,4876,88,34,45
"222",3,0.55,39432,101,504,126,45
"223",1,0.6,4646,1175,16,5,45
"224",2,0.6,15998,3906,66,20,45
"225",3,0.6,38365,4124,407,119,45
"226",1,0.65,5301,992,18,5,45
"227",2,0.65,18225,3235,76,22,45
"228",3,0.65,39363,436,469,92,45
"229",1,0.7,5816,966,19,4,45
"230",2,0.7,19989,3156,86,21,45
"231",3,0.7,39433,75,528,88,45
"232",1,0.75,5255,996,15,4,45
"233",2,0.75,18157,3317,70,22,45
"234",3,0.75,39164,1196,452,102,45
"235",1,0.8,5777,1327,18,6,45
"236",2,0.8,19943,4328,81,31,45
"237",3,0.8,39451,85,507,99,45
"238",1,0.85,5916,1293,16,6,45
"239",2,0.85,20511,4134,79,25,45
"240",3,0.85,39442,72,520,85,45
"241",1,0.25,5036,1032,21,8,50
"242",2,0.25,17102,3339,79,22,50
"243",3,0.25,39363,128,477,111,50
"244",1,0.35,5236,1435,20,5,50
"245",2,0.35,17814,4672,87,34,50
"246",3,0.35,39196,465,481,143,50
"247",1,0.45,5736,1607,21,8,50
"248",2,0.45,19497,4983,90,42,50
"249",3,0.45,39403,105,541,128,50
"250",1,0.55,5074,787,17,4,50
"251",2,0.55,17525,2633,75,21,50
"252",3,0.55,39442,79,489,98,50
"253",1,0.6,6004,1562,21,7,50
"254",2,0.6,20564,4711,91,38,50
"255",3,0.6,39391,101,578,104,50
"256",1,0.65,5398,767,18,5,50
"257",2,0.65,18727,2566,74,17,50
"258",3,0.65,39435,66,514,89,50
"259",1,0.7,5897,911,16,4,50
"260",2,0.7,20400,3032,79,20,50
"261",3,0.7,39403,75,555,98,50
"262",1,0.75,5928,942,18,4,50
"263",2,0.75,20602,3116,82,20,50
"264",3,0.75,39418,67,548,76,50
"265",1,0.8,6047,785,16,5,50
"266",2,0.8,21079,2573,84,24,50
"267",3,0.8,39398,63,572,66,50
"268",1,0.85,5959,775,17,7,50
"269",2,0.85,20840,2510,83,20,50
"270",3,0.85,39421,59,550,63,50
"271",1,0.25,5517,1175,22,6,55
"272",2,0.25,18792,3840,86,26,55
"273",3,0.25,39125,976,549,144,55
"274",1,0.35,5249,1067,18,7,55
"275",2,0.35,17969,3484,83,27,55
"276",3,0.35,39390,107,521,131,55
"277",1,0.45,5424,860,21,4,55
"278",2,0.45,18703,2887,86,19,55
"279",3,0.45,39309,269,568,110,55
"280",1,0.55,5905,1058,19,5,55
"281",2,0.55,20371,3411,87,28,55
"282",3,0.55,39371,98,599,98,55
"283",1,0.6,6414,1200,22,6,55
"284",2,0.6,22133,3910,104,32,55
"285",3,0.6,39323,101,649,106,55
"286",1,0.65,5848,991,20,5,55
"287",2,0.65,20327,3203,83,20,55
"288",3,0.65,39374,98,594,100,55
"289",1,0.7,6180,999,18,5,55
"290",2,0.7,21520,3250,90,23,55
"291",3,0.7,39353,90,618,93,55
"292",1,0.75,6210,1059,17,5,55
"293",2,0.75,21681,3494,85,24,55
"294",3,0.75,39350,88,613,105,55
"295",1,0.8,6574,855,17,5,55
"296",2,0.8,23007,2802,93,24,55
"297",3,0.8,39317,63,655,64,55
"298",1,0.85,6983,1261,18,5,55
"299",2,0.85,24360,4040,97,30,55
"300",3,0.85,39320,100,655,101,55
"301",1,0.25,6112,1722,24,7,65
"302",2,0.25,20791,5319,103,46,65
"303",3,0.25,39308,149,646,168,65
"304",1,0.35,6324,1148,23,9,65
"305",2,0.35,21754,3755,102,30,65
"306",3,0.35,39218,116,704,143,65
"307",1,0.45,6213,1562,22,8,65
"308",2,0.45,21487,5091,99,34,65
"309",3,0.45,39140,473,682,182,65
"310",1,0.55,6666,1387,24,7,65
"311",2,0.55,23077,4510,107,32,65
"312",3,0.55,39239,121,726,140,65
"313",1,0.6,6973,1318,23,6,65
"314",2,0.6,24161,4212,111,36,65
"315",3,0.6,39207,125,767,125,65
"316",1,0.65,6838,1297,23,8,65
"317",2,0.65,23783,4026,105,36,65
"318",3,0.65,39226,112,747,113,65
"319",1,0.7,7545,1428,23,7,65
"320",2,0.7,26157,4426,122,40,65
"321",3,0.7,39144,138,830,136,65
"322",1,0.75,6875,999,19,6,65
"323",2,0.75,24186,3249,103,24,65
"324",3,0.75,39228,108,746,107,65
"325",1,0.8,7309,778,20,5,65
"326",2,0.8,25634,2465,107,23,65
"327",3,0.8,39209,76,767,75,65
"328",1,0.85,7680,1432,20,7,65
"329",2,0.85,26843,4496,122,39,65
"330",3,0.85,39187,111,789,112,65
"331",1,0.25,6171,1175,21,7,75
"332",2,0.25,21328,3812,95,25,75
"333",3,0.25,39246,132,720,144,75
"334",1,0.35,6219,1045,24,8,75
"335",2,0.35,21611,3375,105,25,75
"336",3,0.35,39198,120,773,124,75
"337",1,0.45,7057,1982,24,9,75
"338",2,0.45,24276,5984,122,59,75
"339",3,0.45,39139,183,836,186,75
"340",1,0.55,6508,794,20,5,75
"341",2,0.55,22906,2588,98,20,75
"342",3,0.55,39183,111,791,110,75
"343",1,0.6,7623,1062,24,6,75
"344",2,0.6,26564,3396,123,24,75
"345",3,0.6,39051,122,926,123,75
"346",1,0.65,8021,2393,23,11,75
"347",2,0.65,27229,6002,146,99,75
"348",3,0.65,39059,189,917,188,75
"349",1,0.7,7633,1701,22,7,75
"350",2,0.7,26595,4964,129,54,75
"351",3,0.7,39080,139,895,139,75
"352",1,0.75,7989,1117,23,8,75
"353",2,0.75,27988,3427,127,34,75
"354",3,0.75,39082,121,896,120,75
"355",1,0.8,8170,1073,21,6,75
"356",2,0.8,28656,3259,134,39,75
"357",3,0.8,39055,110,924,109,75
"358",1,0.85,8679,1427,22,5,75
"359",2,0.85,30178,4114,149,50,75
"360",3,0.85,39016,114,961,113,75
"361",1,0.25,6201,829,21,6,85
"362",2,0.25,21694,2733,89,19,85
"363",3,0.25,39183,113,791,118,85
"364",1,0.35,7331,1485,23,8,85
"365",2,0.35,25425,4715,125,38,85
"366",3,0.35,39018,172,956,173,85
"367",1,0.45,7419,1570,24,10,85
"368",2,0.45,25759,4445,127,58,85
"369",3,0.45,39016,148,960,147,85
"370",1,0.55,7876,1861,23,8,85
"371",2,0.55,27259,5382,139,70,85
"372",3,0.55,38974,160,1002,162,85
"373",1,0.6,7994,1015,23,7,85
"374",2,0.6,28009,3120,130,32,85
"375",3,0.6,38958,122,1020,121,85
"376",1,0.65,8887,1678,27,7,85
"377",2,0.65,30569,4514,161,66,85
"378",3,0.65,38900,144,1075,142,85
"379",1,0.7,8713,1576,24,10,85
"380",2,0.7,30137,4174,161,74,85
"381",3,0.7,38917,108,1062,109,85
"382",1,0.75,9146,1831,27,9,85
"383",2,0.75,31157,3770,178,91,85
"384",3,0.75,38884,115,1095,117,85
"385",1,0.8,9342,1598,25,8,85
"386",2,0.8,32139,4139,171,68,85
"387",3,0.8,38915,115,1065,114,85
"388",1,0.85,9044,1593,23,7,85
"389",2,0.85,31344,4242,163,70,85
"390",3,0.85,38914,140,1065,139,85
