"","x"
"1",1
"2",2
"3",4
"4",8
"5",16
"6",30
"7",60
"8",120
"9",240
"10",478
"11",954
"12",1906
"13",3710
"14",5978
"15",8026
"16",8726
"17",6260
"18",2874
"19",584
"20",92
